db,record,label,sample,signal_id,train_label,file_name
afdb,06995,AFIB,0,1,A,afdb_06995_0.npy
afdb,06995,AFIB,1,1,A,afdb_06995_1.npy
afdb,06995,AFIB,2,1,A,afdb_06995_2.npy
afdb,06995,AFIB,3,1,A,afdb_06995_3.npy
afdb,06995,AFIB,4,1,A,afdb_06995_4.npy
afdb,06995,AFIB,5,1,A,afdb_06995_5.npy
afdb,06995,AFIB,6,1,A,afdb_06995_6.npy
afdb,06995,AFIB,7,1,A,afdb_06995_7.npy
afdb,06995,AFIB,8,1,A,afdb_06995_8.npy
afdb,06995,AFIB,9,1,A,afdb_06995_9.npy
afdb,06995,AFIB,10,1,A,afdb_06995_10.npy
afdb,06995,AFIB,11,1,A,afdb_06995_11.npy
afdb,06995,AFIB,12,1,A,afdb_06995_12.npy
afdb,06995,AFIB,13,1,A,afdb_06995_13.npy
afdb,06995,AFIB,14,1,A,afdb_06995_14.npy
afdb,06995,AFIB,15,1,A,afdb_06995_15.npy
afdb,06995,AFIB,16,1,A,afdb_06995_16.npy
afdb,06995,AFIB,17,1,A,afdb_06995_17.npy
afdb,06995,AFIB,18,1,A,afdb_06995_18.npy
afdb,06995,AFIB,19,1,A,afdb_06995_19.npy
afdb,06995,AFIB,20,1,A,afdb_06995_20.npy
afdb,06995,AFIB,21,1,A,afdb_06995_21.npy
afdb,06995,AFIB,22,1,A,afdb_06995_22.npy
afdb,06995,AFIB,23,1,A,afdb_06995_23.npy
afdb,06995,AFIB,24,1,A,afdb_06995_24.npy
afdb,06995,AFIB,25,1,A,afdb_06995_25.npy
afdb,06995,AFIB,26,1,A,afdb_06995_26.npy
afdb,06995,AFIB,27,1,A,afdb_06995_27.npy
afdb,06995,AFIB,28,1,A,afdb_06995_28.npy
afdb,06995,AFIB,29,1,A,afdb_06995_29.npy
afdb,06995,AFIB,30,1,A,afdb_06995_30.npy
afdb,06995,AFIB,31,1,A,afdb_06995_31.npy
afdb,06995,AFIB,32,1,A,afdb_06995_32.npy
afdb,06995,AFIB,33,1,A,afdb_06995_33.npy
afdb,06995,AFIB,34,1,A,afdb_06995_34.npy
afdb,06995,AFIB,35,1,A,afdb_06995_35.npy
afdb,06995,AFIB,36,1,A,afdb_06995_36.npy
afdb,06995,AFIB,37,1,A,afdb_06995_37.npy
afdb,06995,AFIB,38,1,A,afdb_06995_38.npy
afdb,06995,AFIB,39,1,A,afdb_06995_39.npy
afdb,06995,AFIB,40,1,A,afdb_06995_40.npy
afdb,06995,AFIB,41,1,A,afdb_06995_41.npy
afdb,06995,AFIB,42,1,A,afdb_06995_42.npy
afdb,06995,AFIB,43,1,A,afdb_06995_43.npy
afdb,06995,AFIB,44,1,A,afdb_06995_44.npy
afdb,06995,AFIB,45,1,A,afdb_06995_45.npy
afdb,06995,AFIB,46,1,A,afdb_06995_46.npy
afdb,06995,AFIB,47,1,A,afdb_06995_47.npy
afdb,06995,AFIB,48,1,A,afdb_06995_48.npy
afdb,06995,AFIB,49,1,A,afdb_06995_49.npy
afdb,06995,AFIB,50,1,A,afdb_06995_50.npy
afdb,06995,AFIB,51,1,A,afdb_06995_51.npy
afdb,06995,AFIB,52,1,A,afdb_06995_52.npy
afdb,06995,AFIB,53,1,A,afdb_06995_53.npy
afdb,06995,AFIB,54,1,A,afdb_06995_54.npy
afdb,06995,AFIB,55,1,A,afdb_06995_55.npy
afdb,06995,AFIB,56,1,A,afdb_06995_56.npy
afdb,06995,AFIB,57,1,A,afdb_06995_57.npy
afdb,06995,AFIB,58,1,A,afdb_06995_58.npy
afdb,06995,AFIB,59,1,A,afdb_06995_59.npy
afdb,06995,AFIB,60,1,A,afdb_06995_60.npy
afdb,06995,AFIB,61,1,A,afdb_06995_61.npy
afdb,06995,AFIB,62,1,A,afdb_06995_62.npy
afdb,06995,AFIB,63,1,A,afdb_06995_63.npy
afdb,06995,AFIB,64,1,A,afdb_06995_64.npy
afdb,06995,AFIB,65,1,A,afdb_06995_65.npy
afdb,06995,AFIB,66,1,A,afdb_06995_66.npy
afdb,06995,AFIB,67,1,A,afdb_06995_67.npy
afdb,06995,AFIB,68,1,A,afdb_06995_68.npy
afdb,06995,AFIB,69,1,A,afdb_06995_69.npy
afdb,06995,AFIB,70,1,A,afdb_06995_70.npy
afdb,06995,AFIB,71,1,A,afdb_06995_71.npy
afdb,06995,AFIB,72,1,A,afdb_06995_72.npy
afdb,06995,AFIB,73,1,A,afdb_06995_73.npy
afdb,06995,AFIB,74,1,A,afdb_06995_74.npy
afdb,06995,AFIB,75,1,A,afdb_06995_75.npy
afdb,06995,AFIB,76,1,A,afdb_06995_76.npy
afdb,06995,AFIB,77,1,A,afdb_06995_77.npy
afdb,06995,AFIB,78,1,A,afdb_06995_78.npy
afdb,06995,AFIB,79,1,A,afdb_06995_79.npy
afdb,06995,AFIB,80,1,A,afdb_06995_80.npy
afdb,06995,AFIB,81,1,A,afdb_06995_81.npy
afdb,06995,AFIB,82,1,A,afdb_06995_82.npy
afdb,06995,AFIB,83,1,A,afdb_06995_83.npy
afdb,06995,AFIB,84,1,A,afdb_06995_84.npy
afdb,06995,AFIB,85,1,A,afdb_06995_85.npy
afdb,06995,AFIB,86,1,A,afdb_06995_86.npy
afdb,06995,AFIB,87,1,A,afdb_06995_87.npy
afdb,06995,AFIB,88,1,A,afdb_06995_88.npy
afdb,06995,AFIB,89,1,A,afdb_06995_89.npy
afdb,06995,AFIB,90,1,A,afdb_06995_90.npy
afdb,06995,AFIB,91,1,A,afdb_06995_91.npy
afdb,06995,AFIB,92,1,A,afdb_06995_92.npy
afdb,06995,AFIB,0,2,A,afdb_06995_93.npy
afdb,06995,AFIB,1,2,A,afdb_06995_94.npy
afdb,06995,AFIB,2,2,A,afdb_06995_95.npy
afdb,06995,AFIB,3,2,A,afdb_06995_96.npy
afdb,06995,AFIB,4,2,A,afdb_06995_97.npy
afdb,06995,AFIB,5,2,A,afdb_06995_98.npy
afdb,06995,AFIB,6,2,A,afdb_06995_99.npy
afdb,06995,AFIB,7,2,A,afdb_06995_100.npy
afdb,06995,AFIB,8,2,A,afdb_06995_101.npy
afdb,06995,AFIB,9,2,A,afdb_06995_102.npy
afdb,06995,AFIB,10,2,A,afdb_06995_103.npy
afdb,06995,AFIB,11,2,A,afdb_06995_104.npy
afdb,06995,AFIB,12,2,A,afdb_06995_105.npy
afdb,06995,AFIB,13,2,A,afdb_06995_106.npy
afdb,06995,AFIB,14,2,A,afdb_06995_107.npy
afdb,06995,AFIB,15,2,A,afdb_06995_108.npy
afdb,06995,AFIB,16,2,A,afdb_06995_109.npy
afdb,06995,AFIB,17,2,A,afdb_06995_110.npy
afdb,06995,AFIB,18,2,A,afdb_06995_111.npy
afdb,06995,AFIB,19,2,A,afdb_06995_112.npy
afdb,06995,AFIB,20,2,A,afdb_06995_113.npy
afdb,06995,AFIB,21,2,A,afdb_06995_114.npy
afdb,06995,AFIB,22,2,A,afdb_06995_115.npy
afdb,06995,AFIB,23,2,A,afdb_06995_116.npy
afdb,06995,AFIB,24,2,A,afdb_06995_117.npy
afdb,06995,AFIB,25,2,A,afdb_06995_118.npy
afdb,06995,AFIB,26,2,A,afdb_06995_119.npy
afdb,06995,AFIB,27,2,A,afdb_06995_120.npy
afdb,06995,AFIB,28,2,A,afdb_06995_121.npy
afdb,06995,AFIB,29,2,A,afdb_06995_122.npy
afdb,06995,AFIB,30,2,A,afdb_06995_123.npy
afdb,06995,AFIB,31,2,A,afdb_06995_124.npy
afdb,06995,AFIB,32,2,A,afdb_06995_125.npy
afdb,06995,AFIB,33,2,A,afdb_06995_126.npy
afdb,06995,AFIB,34,2,A,afdb_06995_127.npy
afdb,06995,AFIB,35,2,A,afdb_06995_128.npy
afdb,06995,AFIB,36,2,A,afdb_06995_129.npy
afdb,06995,AFIB,37,2,A,afdb_06995_130.npy
afdb,06995,AFIB,38,2,A,afdb_06995_131.npy
afdb,06995,AFIB,39,2,A,afdb_06995_132.npy
afdb,06995,AFIB,40,2,A,afdb_06995_133.npy
afdb,06995,AFIB,41,2,A,afdb_06995_134.npy
afdb,06995,AFIB,42,2,A,afdb_06995_135.npy
afdb,06995,AFIB,43,2,A,afdb_06995_136.npy
afdb,06995,AFIB,44,2,A,afdb_06995_137.npy
afdb,06995,AFIB,45,2,A,afdb_06995_138.npy
afdb,06995,AFIB,46,2,A,afdb_06995_139.npy
afdb,06995,AFIB,47,2,A,afdb_06995_140.npy
afdb,06995,AFIB,48,2,A,afdb_06995_141.npy
afdb,06995,AFIB,49,2,A,afdb_06995_142.npy
afdb,06995,AFIB,50,2,A,afdb_06995_143.npy
afdb,06995,AFIB,51,2,A,afdb_06995_144.npy
afdb,06995,AFIB,52,2,A,afdb_06995_145.npy
afdb,06995,AFIB,53,2,A,afdb_06995_146.npy
